Initial Setup: num_clients=1, num_sigma_values=[5, 10, 15, 20], kappa_join_values=[0.3, 0.5, 0.8], N_r_values=[10, 20, 30]
num_sigma:15, kappa_join:0.3, N_r:10, f1_score:0.015966029723991505, precission:0.008050012845765179, recall:0.9591836734693877
num_sigma:10, kappa_join:0.8, N_r:10, f1_score:0.018704469383736953, precission:0.009443339960238568, recall:0.9693877551020408
num_sigma:10, kappa_join:0.5, N_r:10, f1_score:0.07652173913043478, precission:0.03996366939146231, recall:0.8979591836734694
num_sigma:15, kappa_join:0.3, N_r:20, f1_score:0.07804878048780489, precission:0.04079740380157627, recall:0.8979591836734694
num_sigma:10, kappa_join:0.3, N_r:10, f1_score:0.059582919563058584, precission:0.030790283954840916, recall:0.9183673469387755
num_sigma:10, kappa_join:0.8, N_r:20, f1_score:0.09601873536299767, precission:0.05093167701863354, recall:0.8367346938775511
num_sigma:10, kappa_join:0.5, N_r:20, f1_score:0.09071729957805907, precission:0.047830923248053395, recall:0.8775510204081632
num_sigma:15, kappa_join:0.5, N_r:10, f1_score:0.017948233515964484, precission:0.009057971014492754, recall:0.9693877551020408
num_sigma:10, kappa_join:0.3, N_r:20, f1_score:0.05021897810218978, precission:0.025849113315299068, recall:0.8775510204081632
num_sigma:10, kappa_join:0.8, N_r:30, f1_score:0.06368460955269144, precission:0.03307086614173228, recall:0.8571428571428571
num_sigma:15, kappa_join:0.8, N_r:10, f1_score:0.01959353830119854, precission:0.009897862482889333, recall:0.9591836734693877
num_sigma:10, kappa_join:0.5, N_r:30, f1_score:0.04438709677419355, precission:0.022769393698702674, recall:0.8775510204081632
num_sigma:5, kappa_join:0.3, N_r:30, f1_score:0.03208556149732621, precission:0.016338028169014085, recall:0.8877551020408163
num_sigma:10, kappa_join:0.3, N_r:30, f1_score:0.024314390726604466, precission:0.012327981651376147, recall:0.8775510204081632
num_sigma:5, kappa_join:0.5, N_r:10, f1_score:0.02644119907763259, precission:0.013422818791946308, recall:0.8775510204081632
num_sigma:5, kappa_join:0.8, N_r:30, f1_score:0.03132877205617573, precission:0.01594574780058651, recall:0.8877551020408163
num_sigma:5, kappa_join:0.5, N_r:30, f1_score:0.03132877205617573, precission:0.01594574780058651, recall:0.8877551020408163
num_sigma:15, kappa_join:0.5, N_r:20, f1_score:0.02221149203283438, precission:0.011238700219887612, recall:0.9387755102040817
num_sigma:5, kappa_join:0.5, N_r:20, f1_score:0.03235403495723317, precission:0.016477272727272726, recall:0.8877551020408163
num_sigma:5, kappa_join:0.3, N_r:10, f1_score:0.026925485284909203, precission:0.013672496025437202, recall:0.8775510204081632
num_sigma:5, kappa_join:0.3, N_r:20, f1_score:0.03238414293690676, precission:0.016492890995260665, recall:0.8877551020408163
num_sigma:5, kappa_join:0.8, N_r:10, f1_score:0.026588344411810173, precission:0.013498665829540103, recall:0.8775510204081632
num_sigma:5, kappa_join:0.8, N_r:20, f1_score:0.03235403495723317, precission:0.016477272727272726, recall:0.8877551020408163
num_sigma:15, kappa_join:0.3, N_r:30, f1_score:0.07258064516129033, precission:0.037783375314861464, recall:0.9183673469387755
num_sigma:15, kappa_join:0.5, N_r:30, f1_score:0.0818014705882353, precission:0.04282964388835419, recall:0.9081632653061225
num_sigma:15, kappa_join:0.8, N_r:20, f1_score:0.02561307901907357, precission:0.012979839823253245, recall:0.9591836734693877
num_sigma:20, kappa_join:0.3, N_r:10, f1_score:0.015374861309240765, precission:0.0077476038338658145, recall:0.9897959183673469
num_sigma:20, kappa_join:0.5, N_r:10, f1_score:0.016526109549365363, precission:0.008332617472725712, recall:0.9897959183673469
num_sigma:20, kappa_join:0.8, N_r:10, f1_score:0.017192484934420417, precission:0.008671553727874128, recall:0.9897959183673469
num_sigma:20, kappa_join:0.3, N_r:20, f1_score:0.02290748898678414, precission:0.01159678858162355, recall:0.9285714285714286
num_sigma:15, kappa_join:0.8, N_r:30, f1_score:0.053475935828877004, precission:0.027539779681762546, recall:0.9183673469387755
num_sigma:20, kappa_join:0.5, N_r:20, f1_score:0.013825220112057047, precission:0.006962257237083181, recall:0.9693877551020408
num_sigma:20, kappa_join:0.8, N_r:20, f1_score:0.01278380717757507, precission:0.006433885128342604, recall:0.9795918367346939
num_sigma:20, kappa_join:0.3, N_r:30, f1_score:0.08532249873031997, precission:0.04489577765900588, recall:0.8571428571428571
num_sigma:20, kappa_join:0.5, N_r:30, f1_score:0.020727673649393603, precission:0.010477039679001338, recall:0.9591836734693877
num_sigma:20, kappa_join:0.8, N_r:30, f1_score:0.015415495784825371, precission:0.007768875940762321, recall:0.9795918367346939
Round 1: Metrics: {'accuracy': 0.9828833257259225, 'precision': 0.0721951219512195, 'recall': 0.7551020408163265, 'f1_score': 0.13178984861976847}, ROC AUC: 0.9502393106933263

Round 1: Metrics: {'accuracy': 0.9828833257259225, 'precision': 0.0721951219512195, 'recall': 0.7551020408163265, 'f1_score': 0.13178984861976847}, ROC AUC: 0.9502393106933263

Round 2: Metrics: {'accuracy': 0.9889399950844423, 'precision': 0.11781609195402298, 'recall': 0.8367346938775511, 'f1_score': 0.2065491183879093}, ROC AUC: 0.9560715218839364

Round 1: Metrics: {'accuracy': 0.9828833257259225, 'precision': 0.0721951219512195, 'recall': 0.7551020408163265, 'f1_score': 0.13178984861976847}, ROC AUC: 0.9502393106933263

Round 2: Metrics: {'accuracy': 0.9889399950844423, 'precision': 0.11781609195402298, 'recall': 0.8367346938775511, 'f1_score': 0.2065491183879093}, ROC AUC: 0.9560715218839364

Round 3: Metrics: {'accuracy': 0.994996664442962, 'precision': 0.2208955223880597, 'recall': 0.7551020408163265, 'f1_score': 0.3418013856812933}, ROC AUC: 0.9059142544187062

Round 1: Metrics: {'accuracy': 0.9828833257259225, 'precision': 0.0721951219512195, 'recall': 0.7551020408163265, 'f1_score': 0.13178984861976847}, ROC AUC: 0.9502393106933263

Round 2: Metrics: {'accuracy': 0.9889399950844423, 'precision': 0.11781609195402298, 'recall': 0.8367346938775511, 'f1_score': 0.2065491183879093}, ROC AUC: 0.9560715218839364

Round 3: Metrics: {'accuracy': 0.994996664442962, 'precision': 0.2208955223880597, 'recall': 0.7551020408163265, 'f1_score': 0.3418013856812933}, ROC AUC: 0.9059142544187062

Round 4: Metrics: {'accuracy': 0.9980688880306169, 'precision': 0.461038961038961, 'recall': 0.7244897959183674, 'f1_score': 0.5634920634920634}, ROC AUC: 0.8848618759546587

Round 1: Metrics: {'accuracy': 0.9828833257259225, 'precision': 0.0721951219512195, 'recall': 0.7551020408163265, 'f1_score': 0.13178984861976847}, ROC AUC: 0.9502393106933263

Round 2: Metrics: {'accuracy': 0.9889399950844423, 'precision': 0.11781609195402298, 'recall': 0.8367346938775511, 'f1_score': 0.2065491183879093}, ROC AUC: 0.9560715218839364

Round 3: Metrics: {'accuracy': 0.994996664442962, 'precision': 0.2208955223880597, 'recall': 0.7551020408163265, 'f1_score': 0.3418013856812933}, ROC AUC: 0.9059142544187062

Round 4: Metrics: {'accuracy': 0.9980688880306169, 'precision': 0.461038961038961, 'recall': 0.7244897959183674, 'f1_score': 0.5634920634920634}, ROC AUC: 0.8848618759546587

Round 5: Metrics: {'accuracy': 0.9983322214809873, 'precision': 0.5109489051094891, 'recall': 0.7142857142857143, 'f1_score': 0.5957446808510638}, ROC AUC: 0.882690027333387

Round 1: Metrics: {'accuracy': 0.9828833257259225, 'precision': 0.0721951219512195, 'recall': 0.7551020408163265, 'f1_score': 0.13178984861976847}, ROC AUC: 0.9502393106933263

Round 2: Metrics: {'accuracy': 0.9889399950844423, 'precision': 0.11781609195402298, 'recall': 0.8367346938775511, 'f1_score': 0.2065491183879093}, ROC AUC: 0.9560715218839364

Round 3: Metrics: {'accuracy': 0.994996664442962, 'precision': 0.2208955223880597, 'recall': 0.7551020408163265, 'f1_score': 0.3418013856812933}, ROC AUC: 0.9059142544187062

Round 4: Metrics: {'accuracy': 0.9980688880306169, 'precision': 0.461038961038961, 'recall': 0.7244897959183674, 'f1_score': 0.5634920634920634}, ROC AUC: 0.8848618759546587

Round 5: Metrics: {'accuracy': 0.9983322214809873, 'precision': 0.5109489051094891, 'recall': 0.7142857142857143, 'f1_score': 0.5957446808510638}, ROC AUC: 0.882690027333387

Round 6: Metrics: {'accuracy': 0.9984726659878516, 'precision': 0.5462184873949579, 'recall': 0.6632653061224489, 'f1_score': 0.5990783410138247}, ROC AUC: 0.8782086941416971

Round 1: Metrics: {'accuracy': 0.9767739896773288, 'precision': 0.05903527717782577, 'recall': 0.8367346938775511, 'f1_score': 0.11028917283120376}, ROC AUC: 0.9744991271691569

Round 1: Metrics: {'accuracy': 0.943242863663495, 'precision': 0.02456778889899909, 'recall': 0.826530612244898, 'f1_score': 0.047717231222385866}, ROC AUC: 0.9731934698471398

Round 1: Metrics: {'accuracy': 0.93643130508058, 'precision': 0.02327469553450609, 'recall': 0.8775510204081632, 'f1_score': 0.04534669127339837}, ROC AUC: 0.9768732127065796

Round 1: Metrics: {'accuracy': 0.9144692953196868, 'precision': 0.017192556634304208, 'recall': 0.8673469387755102, 'f1_score': 0.033716779055930186}, ROC AUC: 0.9776048186579077

Round 1: Metrics: {'accuracy': 0.9868508830448369, 'precision': 0.0996309963099631, 'recall': 0.826530612244898, 'f1_score': 0.1778265642151482}, ROC AUC: 0.9512865641473247

