------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                          Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
              aten::lift_fresh         0.02%       2.000us         0.02%       2.000us       2.000us      11.000us         0.09%      11.000us      11.000us             1  
                      aten::to         0.11%      12.000us         0.44%      50.000us      50.000us      12.000us         0.10%      55.000us      55.000us             1  
                aten::_to_copy         0.25%      29.000us         0.33%      38.000us      38.000us      23.000us         0.19%      43.000us      43.000us             1  
           aten::empty_strided         0.03%       3.000us         0.03%       3.000us       3.000us       8.000us         0.06%       8.000us       8.000us             1  
                   aten::copy_         0.05%       6.000us         0.05%       6.000us       6.000us      12.000us         0.10%      12.000us      12.000us             1  
                 aten::detach_         0.11%      12.000us         0.11%      13.000us      13.000us      12.000us         0.10%      18.000us      18.000us             1  
                       detach_         0.01%       1.000us         0.01%       1.000us       1.000us       6.000us         0.05%       6.000us       6.000us             1  
                      aten::to         0.11%      13.000us         0.78%      89.000us      89.000us      13.000us         0.11%      99.000us      99.000us             1  
                aten::_to_copy         0.24%      27.000us         0.67%      76.000us      76.000us      19.000us         0.15%      86.000us      86.000us             1  
           aten::empty_strided         0.04%       5.000us         0.04%       5.000us       5.000us      10.000us         0.08%      10.000us      10.000us             1  
                   aten::copy_         0.39%      44.000us         0.39%      44.000us      44.000us      57.000us         0.46%      57.000us      57.000us             1  
                   aten::empty         0.02%       2.000us         0.02%       2.000us       2.000us       2.000us         0.02%       2.000us       2.000us             1  
                      aten::to         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us         0.02%       3.000us       3.000us             1  
              aten::lift_fresh         0.00%       0.000us         0.00%       0.000us       0.000us       9.000us         0.07%       9.000us       9.000us             1  
                 aten::detach_         0.10%      11.000us         0.11%      12.000us      12.000us       8.000us         0.06%      17.000us      17.000us             1  
                       detach_         0.01%       1.000us         0.01%       1.000us       1.000us       9.000us         0.07%       9.000us       9.000us             1  
                      aten::to         0.14%      16.000us         0.98%     112.000us     112.000us      18.000us         0.15%     122.000us     122.000us             1  
                aten::_to_copy         0.32%      36.000us         0.84%      96.000us      96.000us      69.000us         0.56%     104.000us     104.000us             1  
           aten::empty_strided         0.03%       3.000us         0.03%       3.000us       3.000us       9.000us         0.07%       9.000us       9.000us             1  
                   aten::copy_         0.50%      57.000us         0.50%      57.000us      57.000us      26.000us         0.21%      26.000us      26.000us             1  
                      aten::to         0.01%       1.000us         0.01%       1.000us       1.000us       8.000us         0.06%       8.000us       8.000us             1  
                      aten::to         0.00%       0.000us         0.00%       0.000us       0.000us       8.000us         0.06%       8.000us       8.000us             1  
                      aten::to         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us         0.02%       3.000us       3.000us             1  
